timestamp,trial_id,robot_name,scope,fusion_mode,map_name,attack_enabled,attack_region_name,attack_region_type,attack_region_frame_id,attack_region_mask_cell_count,geometry_match,ground_truth_topic,shared_map_topic,confidence_map_topic,frame_id,ground_truth_frame_id,width,height,resolution,origin_x,origin_y,true_occupied_count,false_occupied_count,missed_occupied_count,predicted_occupied_count,predicted_unknown_count,ground_truth_occupied_count,ground_truth_free_count,evaluated_cell_count,occupied_precision,occupied_recall,occupied_f1,occupied_iou,false_occupied_rate,missed_occupied_rate,unknown_rate,confidence_mean,false_occupied_mean_confidence,attack_region_mean_confidence,attack_region_false_occupied_mean_confidence,status
1783454767.6506953,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,560,191,1614,751,12772,2174,12226,14400,0.7456724367509987,0.2575896964121435,0.38290598290598293,0.23678646934460887,0.015622443971863242,0.7424103035878565,0.8869444444444444,35.66881258941345,64.42931937172774,,,timeseries
1783454767.6506953,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.66881258941345,64.42931937172774,8.66798418972332,21.0,timeseries
1783454769.526494,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,562,195,1612,757,12429,2174,12226,14400,0.7424042272126816,0.25850965961361544,0.3834868645513477,0.23723089911355003,0.01594961557336823,0.7414903403863845,0.863125,43.30791229742612,41.256410256410255,,,timeseries
1783454769.526494,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.30791229742612,41.256410256410255,12.41501976284585,86.83333333333333,timeseries
1783454769.7645655,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,560,189,1614,749,12774,2174,12226,14400,0.7476635514018691,0.2575896964121435,0.38316797810468695,0.2369868810833686,0.015458858171110748,0.7424103035878565,0.8870833333333333,35.56185935637664,62.38095238095238,,,timeseries
1783454769.7645655,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.56185935637664,62.38095238095238,8.66798418972332,21.0,timeseries
1783454771.5907943,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,563,195,1611,758,12432,2174,12226,14400,0.7427440633245382,0.25896964121435145,0.3840381991814461,0.2376530181511186,0.01594961557336823,0.7410303587856486,0.8633333333333333,43.19627507163324,40.85128205128205,,,timeseries
1783454771.5907943,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.19627507163324,40.85128205128205,12.41501976284585,86.83333333333333,timeseries
1783454771.8264139,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,561,186,1613,747,12779,2174,12226,14400,0.751004016064257,0.2580496780128795,0.3841150290996235,0.23771186440677966,0.015213479469982005,0.7419503219871205,0.8874305555555555,35.52267303102625,63.04838709677419,,,timeseries
1783454771.8264139,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.52267303102625,63.04838709677419,8.66798418972332,21.0,timeseries
1783454773.5873249,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,565,199,1609,764,12421,2174,12226,14400,0.7395287958115183,0.25988960441582337,0.38461538461538464,0.23809523809523808,0.01627678717487322,0.7401103955841767,0.8625694444444445,43.263445978105665,41.64321608040201,,,timeseries
1783454773.5873249,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.263445978105665,41.64321608040201,12.41501976284585,86.83333333333333,timeseries
1783454773.7891521,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,562,189,1612,751,12771,2174,12226,14400,0.748335552596538,0.25850965961361544,0.38427350427350426,0.23783326280152348,0.015458858171110748,0.7414903403863845,0.886875,35.664363982848975,63.63492063492063,,,timeseries
1783454773.7891521,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.664363982848975,63.63492063492063,8.66798418972332,21.0,timeseries
1783454775.5911465,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,563,197,1611,760,12426,2174,12226,14400,0.7407894736842106,0.25896964121435145,0.3837764144512611,0.23745255166596374,0.016113201374120725,0.7410303587856486,0.8629166666666667,43.1289323164919,41.0507614213198,,,timeseries
1783454775.5911465,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.1289323164919,41.0507614213198,12.41501976284585,86.83333333333333,timeseries
1783454775.820671,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,562,190,1612,752,12769,2174,12226,14400,0.7473404255319149,0.25850965961361544,0.38414217361585784,0.2377326565143824,0.015540651071486994,0.7414903403863845,0.8867361111111111,35.72701286326822,64.65789473684211,,,timeseries
1783454775.820671,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.72701286326822,64.65789473684211,8.66798418972332,21.0,timeseries
1783454777.6892226,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,564,198,1610,762,12420,2174,12226,14400,0.7401574803149606,0.2594296228150874,0.38419618528610355,0.23777403035413153,0.016194994274496975,0.7405703771849126,0.8625,43.21648011431293,40.55050505050505,,,timeseries
1783454777.6892226,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.21648011431293,40.55050505050505,12.41501976284585,86.83333333333333,timeseries
1783454777.9403675,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,562,189,1612,751,12770,2174,12226,14400,0.748335552596538,0.25850965961361544,0.38427350427350426,0.23783326280152348,0.015458858171110748,0.7414903403863845,0.8868055555555555,35.597857142857144,61.96296296296296,,,timeseries
1783454777.9403675,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.597857142857144,61.96296296296296,8.66798418972332,21.0,timeseries
1783454780.7554066,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,565,197,1609,762,12422,2174,12226,14400,0.7414698162729659,0.25988960441582337,0.38487738419618533,0.23829607760438634,0.016113201374120725,0.7401103955841767,0.8626388888888888,43.2123303975244,40.6497461928934,,,timeseries
1783454780.7554066,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.2123303975244,40.6497461928934,12.41501976284585,86.83333333333333,timeseries
1783454780.9447765,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,564,190,1610,754,12768,2174,12226,14400,0.7480106100795756,0.2594296228150874,0.3852459016393443,0.23857868020304568,0.015540651071486994,0.7405703771849126,0.8866666666666667,35.59090909090909,62.99473684210526,,,timeseries
1783454780.9447765,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.59090909090909,62.99473684210526,8.66798418972332,21.0,timeseries
1783454781.6285522,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,565,197,1609,762,12430,2174,12226,14400,0.7414698162729659,0.25988960441582337,0.38487738419618533,0.23829607760438634,0.016113201374120725,0.7401103955841767,0.8631944444444445,43.057857142857145,40.6497461928934,,,timeseries
1783454781.6285522,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.057857142857145,40.6497461928934,12.41501976284585,86.83333333333333,timeseries
1783454781.8672674,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,565,190,1609,755,12769,2174,12226,14400,0.7483443708609272,0.25988960441582337,0.3857972004096961,0.23900169204737734,0.015540651071486994,0.7401103955841767,0.8867361111111111,35.55021418372204,62.99473684210526,,,timeseries
1783454781.8672674,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.55021418372204,62.99473684210526,8.66798418972332,21.0,timeseries
1783454783.6073754,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,564,197,1610,761,12431,2174,12226,14400,0.7411300919842313,0.2594296228150874,0.3843270868824531,0.23787431463517503,0.016113201374120725,0.7405703771849126,0.8632638888888889,43.117619047619044,41.0507614213198,,,timeseries
1783454783.6073754,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.117619047619044,41.0507614213198,12.41501976284585,86.83333333333333,timeseries
1783454783.846726,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,564,190,1610,754,12769,2174,12226,14400,0.7480106100795756,0.2594296228150874,0.3852459016393443,0.23857868020304568,0.015540651071486994,0.7405703771849126,0.8867361111111111,35.625416468348405,63.410526315789475,,,timeseries
1783454783.846726,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.625416468348405,63.410526315789475,8.66798418972332,21.0,timeseries
1783454785.6104007,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,569,197,1605,766,12424,2174,12226,14400,0.7428198433420365,0.26172953081876726,0.3870748299319728,0.23998312948123154,0.016113201374120725,0.7382704691812327,0.8627777777777778,42.995244888254874,41.0507614213198,,,timeseries
1783454785.6104007,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,42.995244888254874,41.0507614213198,12.41501976284585,86.83333333333333,timeseries
1783454785.8285253,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,568,190,1606,758,12768,2174,12226,14400,0.7493403693931399,0.2612695492180313,0.3874488403819918,0.24027072758037224,0.015540651071486994,0.7387304507819688,0.8866666666666667,35.55243757431629,62.99473684210526,,,timeseries
1783454785.8285253,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.55243757431629,62.99473684210526,8.66798418972332,21.0,timeseries
1783454787.607765,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,569,197,1605,766,12430,2174,12226,14400,0.7428198433420365,0.26172953081876726,0.3870748299319728,0.23998312948123154,0.016113201374120725,0.7382704691812327,0.8631944444444445,42.939134569662386,41.0507614213198,,,timeseries
1783454787.607765,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,42.939134569662386,41.0507614213198,12.41501976284585,86.83333333333333,timeseries
1783454787.8117409,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,568,190,1606,758,12766,2174,12226,14400,0.7493403693931399,0.2612695492180313,0.3874488403819918,0.24027072758037224,0.015540651071486994,0.7387304507819688,0.8865277777777778,35.62719923918212,64.65789473684211,,,timeseries
1783454787.8117409,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.62719923918212,64.65789473684211,8.66798418972332,21.0,timeseries
1783454789.6610231,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,569,197,1605,766,12424,2174,12226,14400,0.7428198433420365,0.26172953081876726,0.3870748299319728,0.23998312948123154,0.016113201374120725,0.7382704691812327,0.8627777777777778,43.13507728894174,40.6497461928934,,,timeseries
1783454789.6610231,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.13507728894174,40.6497461928934,12.41501976284585,86.83333333333333,timeseries
1783454789.8562987,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,568,191,1606,759,12765,2174,12226,14400,0.7483530961791831,0.2612695492180313,0.3873167405386976,0.240169133192389,0.015622443971863242,0.7387304507819688,0.8864583333333333,35.49310180780209,61.94764397905759,,,timeseries
1783454789.8562987,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.49310180780209,61.94764397905759,8.66798418972332,21.0,timeseries
1783454791.5936248,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,569,197,1605,766,12423,2174,12226,14400,0.7428198433420365,0.26172953081876726,0.3870748299319728,0.23998312948123154,0.016113201374120725,0.7382704691812327,0.8627083333333333,43.12773549000951,40.6497461928934,,,timeseries
1783454791.5936248,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.12773549000951,40.6497461928934,12.41501976284585,86.83333333333333,timeseries
1783454791.8082247,fake_obstacle,robot_2,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,568,192,1606,760,12766,2174,12226,14400,0.7473684210526316,0.2612695492180313,0.38718473074301296,0.2400676246830093,0.01570423687223949,0.7387304507819688,0.8865277777777778,35.4891846921797,63.380208333333336,,,timeseries
1783454791.8082247,fake_obstacle,robot_2,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_2/shared_live_map,/robot_2/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,35.4891846921797,63.380208333333336,8.66798418972332,21.0,timeseries
1783454793.577894,fake_obstacle,robot_1,whole_map,log_odds,shared_map,True,,,,,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,569,197,1605,766,12427,2174,12226,14400,0.7428198433420365,0.26172953081876726,0.3870748299319728,0.23998312948123154,0.016113201374120725,0.7382704691812327,0.8629861111111111,43.015212740670314,41.0507614213198,,,timeseries
1783454793.577894,fake_obstacle,robot_1,attack_region,log_odds,shared_map,True,fake_obstacle_1,circle,map,716,True,/map,/robot_1/shared_live_map,/robot_1/shared_confidence_map,map,map,200,200,0.05000000074505806,-4.0,-4.0,7,6,13,13,703,20,696,716,0.5384615384615384,0.35,0.4242424242424242,0.2692307692307692,0.008620689655172414,0.65,0.9818435754189944,43.015212740670314,41.0507614213198,12.41501976284585,86.83333333333333,timeseries
